,name,location,date,content
938,Annie K,US,"Mar 17, 2022",Pricing was much better than the cruise line offered.  Easy to get.  Hopefully I won't need to find out how well they come through if we have problems on the cruise!
939,Kb,US,"Mar 17, 2022","I called The AARDY information number and I found the representative to be very helpful.  She was informative, answering all my questions and even clarifying some things I didn't think to ask about. She gave me some good recommendations.  After finding out the information I needed about my health insurance, I was able to purchase the policy online.  Thank you."
940,Robert Nordman,US,"Mar 17, 2022","was able to purchase a policy with no problems, hope I don't need to use it, but at least I have it!!"
941,G Clark,US,"Mar 17, 2022",I called Aardy to obtain information about insurance for two trips.  One trip has multiple segments lasting two months.  We discussed the circumstances and coverage desired.  They told me what information I would need to provide to give me an accurate quote.   I asked if we could set an appointment after I had time to organize my information. We agreed on a day and they called me back as promised. After answering their questions they gave me their best coverage amount and answered the questions I had.  I received the links almost immediately for the two policies I purchased.  I am very happy so far with their service and hope I don't need to test the coverage.
942,Customer,US,"Mar 17, 2022",N/A
943,D. Johnston,US,"Mar 17, 2022",Purchasing the travel policy on-line with Brandon was extremely easy and comfortable.  All questions answered very professionally.
944,Theresa Clark,US,"Mar 17, 2022","Getting a quote online was super easy.  So many options to choose from and an easy comparison option as well.  I received an email with the quote and, better  yet, even and email with an option to talk to a live person ! I called and spoke with Denise who was so knowledgeable and helpful. She explained   my options clearly and answered my questions thoroughly !"
945,Customer,US,"Mar 17, 2022","Easy, cost effective."
946,Nancy,US,"Mar 17, 2022",Easy to use travel insurance website.  I was able to insure a four week long trip to France for 25% less than the tour operator was offering with more robust coverage!  Thank you so much for your service!
947,Liz S,US,"Mar 17, 2022",Jerome was very helpful. He was clear and concise. He answered all my questions. Very efficient.
948,J&J,US,"Mar 17, 2022",Matthew was very professional and friendly. He explained everything very well and answered all of our questions. We had no problems understanding the terns of the policy. Very impressed with the service.
949,Mark,US,"Mar 17, 2022",Super easy to navigate. Numerous quotes to compare to make a good decision based on what your specific needs are. Would definitely use again.
950,John S.,US,"Mar 17, 2022",My contact at Aardy (Beth) was totally professional and helpful.
951,Customer,US,"Mar 17, 2022",Incredible customer service. With other providers you wait endlessly to speak to a human. I appreciate have a responsive agent who gave me good advice on policies. Thanks
952,Customer,US,"Mar 17, 2022","Quick & easy to compare a variety of plans.  Less expensive than many others, which have stuff we don't need to buy. We need to be fully reimbursed if something happens, we both have Medicare & supplimental plans so we don't require such massive amounts of insurance."
953,Kate Mcrissin,US,"Mar 17, 2022",Thanks so much! Helped me with my flight insuranfe
954,Zinko,US,"Mar 17, 2022","Very Straightforward and trustworthy, really great chat help!"
955,Rebecca,US,"Mar 17, 2022","Representative was very friendly, courteous, and professional.  He listened to my needs and lead me to the best choices."
956,Phyllis G.,US,"Mar 17, 2022","I had called in to purchase insurance for a cruise and a round trip flight. I spoke to Darren and gave him a laundry list of things that I was looking for in a policy. He addressed all of them and explained them so that I could understand what the policy would provide.Darren is extremely knowledgeable, helpful, personable  and he made it easy to select  a policy that would work well for my needs. It was a pleasure to work with him.I highly recommend Darren and Aardy for all of your insurance needs.  Thank you so much for all of your help.Sincerely,Phyllis G."
957,Customer,US,"Mar 17, 2022","I had questions about the quotes offered online as well as the definition of a term. I received prompt, courteous, helpful responses."
958,Donna,US,"Mar 16, 2022",N/A
959,Customer Carol,US,"Mar 16, 2022","The agent was very helpful and patient and answered all my questions.   AARDY compares rates and benefits of several different companies to try to help you find the best one for your needs.  It is recommended by AARP.  I plan to use them again, since my old company (who I've used for decades) isn't answering the phone, even after waiting over an hour (multiple tries)."
960,J. Connally,US,"Mar 16, 2022",N/A
961,Customer,US,"Mar 16, 2022",Stacy was very helpful and answered all my questions.
962,Bob Chenault,US,"Mar 16, 2022",Excellent service.  Nicole answered all of my questions and sold me on the policy I was considering.  I would use them again.
963,Mark Fisher,US,"Updated Mar 17, 2022",I had to use the chat to confirm covid coverage. Despite a few glitches I find the site perfect for finding the best plan.  The chat support and follow up was great
964,Renee B.,US,"Mar 16, 2022","I am new to trip insurance and had a million questions! Nicole was extremely helpful! She answers all of my questions, explained the options very thoroughly, and helped me select the policy that not only worked best for my travels but was cost effective as well. Many thanks, Nicole! I will definitely utilize Aardy for future travels!"
965,Mark,US,"Mar 16, 2022","Denise did a fantastic job of helping me choose a travel plan! She was professional, cordial, and extremely helpful and accomodating! Thank you Denise!"
966,Rick And Debbie Grady,US,"Mar 16, 2022",Policy was easy to buy and a very good value. Stacy helped us by phone and confidently and competently answered all our questions and helped us tailor the coverage to fit our needs. We would highly recommend this Company and it's products because of our experience with Stacy. Thanks for everything.
967,Barry,US,"Mar 16, 2022",Easy to purchase travel insurance. Fast and efficient
968,Charlotte,US,"Mar 16, 2022","I was connected to an agent who was most helpful.  I spoke with Katrina told her what I needed. She sent me a quote that meets my needs. I finalized my travel plans and bought the insurance today.  I bought IMG insurance   and think I will be pleased if I have to use it; hopefully not,"
969,Steven,US,"Mar 16, 2022","Easier than expected. Legalese unavoidable, otherwise quite simple."
970,Beatriz ,US,"Mar 16, 2022","Im very satisfied with the service Denise was extremely nice, polite and knowledgeable. She helped me find the right travel insurance for me"
971,Customer,US,"Mar 16, 2022",Got a great quote for my 2023 trip…..much better than the insurance being pushed by the travel agency.
972,Sherryl,CA,"Mar 16, 2022",N/A
973,Sherip,US,"Mar 16, 2022",Great site. I appreciated all the options and the “compare” ability. Easy to use and navigate.
974,Carl Greene,US,"Mar 16, 2022","Great ""chat"" help.  Lots of information with very patient agent!  Great pricing for value of travel insurance plan!  Thanks for your help!"
975,Customer,US,"Mar 16, 2022",Matthew was extremely helpful and explained the policy information to me.
976,Mer,US,"Mar 16, 2022","First time purchasing travel insurance, was fast and easy.  First chatted with Jamie and later spoke to Stacey both were great, answered all my questions and were very professional.I will now travel with peace of mind?Thank youM.E.R."
977,Susan,US,"Mar 16, 2022",The process of finding the best coverage for our trip was simple and professional. The agent i spoke with was very knowledgeable and helpful. It’s a little scary embarking on an international trip these days and this policy gives me peace of mind.
978,Customer,US,"Mar 16, 2022",N/A
979,Ed Paschik,US,"Mar 16, 2022",Jerome was excellent.  He was thoroughly professional and made the purchase of insurance easy.
980,Mitchell Hirth,US,"Mar 16, 2022",Easy to use. Good information provided
981,Linda J,US,"Mar 15, 2022",We called and spoke with Beth as we had several questions.  She was very helpful.  She provided answers to all our questions and found us less expensive coverage with a A+ provider.  I will use Aardy in the future
982,Randy Ruiter,US,"Mar 15, 2022","Overall good experience, was shown and referred by a friend to a policy with AIG, but when I used the site while still visiting with her, my quote was $85 more. We are on the same trip, same cost, and my wife and I are 1 year, and 4 years younger. Closed out the site, went back in at home, and then was quoted $28 less?!?! A bit frustrating -- suggest a link where referrals could be tied to existing policy holders for a friend and family discount, or future rebate. I guarantee you would sell more policies, and everybody wins!"
983,Dina,US,"Mar 15, 2022","Jonathan was very helpful in getting me the right insurance at the right price. He explained what primary and secondary insurance was and helped me decide among my many options. I feel good about the price I paid for the coverage I got, and for the friendly and professional help I received too! Thank you!"
984,Customer,US,"Mar 15, 2022","I called and got a recording saying agents were busy, but got a call back within a couple of minutes. Katrina was super helpful in answering questions about coverage and getting things set up. The whole process took only a few minutes. I learned of Aardy from a friend, and will definitely use it again for future travel insurance."
985,Richard,US,"Mar 15, 2022","I found the tutorial on the ins and outs of travel insurance very useful, as well as the multiple quotes."
986,Lynn,US,"Mar 15, 2022",Helpful online chat with McKina. Easy process. Thank you
987,Customer,US,"Mar 15, 2022","When I needed travel insurance, I requested a quote from Aardy.com. I had some questions about the technical terms on the top rated policy so I called. The agent could not have been more helpful. It was a very positive experience."
988,Rodney,US,"Mar 15, 2022","Thank you for the fast and excellent service. When I need air travel insurance in the future, I know who to call. Thanks again, Rodney"
989,John Felton,US,"Mar 15, 2022",This was the cheapest quote I could get from a reputable insurer and it was fast and easy.
990,D Schieffer,US,"Mar 15, 2022",I used the Chat system and it went so smoothly.  All my questions were answered and the quote and conversation were emailed to me.Very pleased with the service and rate was excellent.
991,Aaron,US,"Mar 15, 2022",N/A
992,Customer,US,"Mar 15, 2022",Excellent service!  Thanks
993,Customer,US,"Mar 15, 2022","Both agents, Denise and Beth, were professional in mannerism, spoke clearly and very patient.  My questions were answered completely."
994,Customer,US,"Mar 15, 2022",Denise and C. McKinna were exceptionally helpful.
995,Customer,US,"Mar 15, 2022","Insurance plans were simple to compare. Live chat operator, McKinna C, was most helpful and put me in contact with Jerome for a informative session."
996,Customer,US,"Mar 15, 2022","Aardy's website comparing various travel protection policies is great and very user friendly.  Their customer service person Brandon was excellent, very knowledgeable and patient.  This was a great experience."
997,Alan S.,US,"Mar 15, 2022",N/A
998,Linda Clohosey,US,"Mar 15, 2022",Genome was very professional and helpful and patient. He explained everything to me and made the process painless.
999,Yasuhiro,US,"Mar 15, 2022",Quite simple and easy to buy travel insurance.
1000,Tom D,US,"Mar 15, 2022","The process is very simple. Information on plan was easily available in a clear easy to understand format. Simple to compare from multiple major insurance companies. I am surprised how simple the process was.  Once I chose my plan the purchase was easy and documentation was received within 1 minute. They send your policy as a .pdf so you can print it out with an insurance card. All contact numbers, emails for Insurance company are provided.Very efficient. Will be my go to from now on."
1001,Renee Langit,US,"Mar 15, 2022",The staff was very helpful and patient with all my questions.
1002,Jl,US,"Mar 15, 2022",So easy to do; spoke with agent who was very pleasant & then bought online; great savings over other travel insurance companies.Very satisfied
1003,Marek,US,"Mar 15, 2022",I have found exactly for what I was looking for.
1004,Steven Siegelman,US,"Mar 14, 2022",The process did not take that long and I feel good about the price I paid. Hopefully the insurance justifies the expense.
1005,Patrick,US,"Mar 14, 2022","The call to Aardy was to clear up details and questions on their travel insurance comparison before purchasing.  Aardy representative, Denise, promptly returned my call, responded to my questions, gave me additional information as it related to my preferred quote/company.  She discussed clear, concise differences between two possible travel insurance providers and answered questions as they arose.  I appreciate her attention to detail and patience with my many questions. I purchased insurance for a family vacation. Relief.Denise assured me that, should there be a claim, Aardy would be available to guide us through the process."
1006,Jennifer B,US,"Mar 14, 2022",Agent Felicia was very pleasant to talk to and so helpful.  She answered all my questions and was patient with me. She was the agent that helped my husband purchase travel insurance for a separate trip to Asia. My husband was also very pleased with the customer service he received from Felicia last month.Agent Anna was helpful too. She helped me on an earlier call today while Felicia was on another call. She sent me quotes quickly. Your team's responsiveness is quick and on point. Keep up the excellent customer service!
1007,Jane Sander,US,"Mar 14, 2022",Now to find out how the insurance works if there are travel issues!
1008,Jeff Gusinow,US,"Mar 14, 2022",everyone was friendly and helpful. even though I needed call several times and chat on line several times!!!!!!!!!!!!!!!
1009,Patricia L. Kennedy,US,"Mar 14, 2022",I was helped on the phone by an excellent AARDY agent a couple of weeks ago. He was very informative and honest.
1010,Jaime,US,"Mar 14, 2022","Quick, price was fair, many choices"
1011,Jonathan Karpf,US,"Mar 14, 2022","Aardy is an excellent site with which to compare multiple travel insurance policies tailored to the specific travelers. It is especially useful for those of us over 60 years of age. I very much appreciate their ranking by cost, plus their delineation of all major coverage including medical and medical evacuations. A top notch site!"
1012,Theodore Margolis,US,"Mar 14, 2022",Denise was very helpful in correcting a mistake I made on a date and getting me to the correct policy
1013,Customer,US,"Mar 14, 2022","Easier than using Squaremouth to locate a good policy for my needs. Should I have to file a claim, I anticipate no problems with representatives or responses to my issue, I hope. Will write another review after trip."
1014,Customer,US,"Mar 14, 2022",N/A
1015,"Roberts, Thomas",US,"Mar 14, 2022",Katrina is the B E S T !  She knows her products and explains in an easy to understand way.
1016,Pam,US,"Mar 14, 2022",I just purchased my insurance and I have never had such a pleasant experience with a travel/insurance agent!!
1017,Julie Wood,US,"Mar 14, 2022",Excellent customer service knowledgeable staff (we worked with Terri) and reasonable rates!
1018,Customer,US,"Mar 14, 2022",Received some quotes. Called to ask a few questions and purchased a policy. Very easy and customer service was great.
1019,Leo,US,"Mar 14, 2022","After having some issues buying a policy online, I called on the phone and Nicole was great in taking care of me and my travel policy.it was a great experience.Thank you"
1020,Kate,US,"Mar 14, 2022",It was quick and directions were clear and easy to follow
1021,Rebecca Trousdale,US,"Mar 14, 2022",This is the first time I used Aardy and I loved it nI will continue to use it to protect our trips.
1022,James Rogers,US,"Mar 14, 2022",I was assisted by Katrina. Couldn’t have been nicer or more informative. Simple process.
1023,Godwin Mensah,US,"Mar 14, 2022",Simple and straightforward transaction. Agent was very professional..
1024,A Long Time Satisfied Customer,IN,"Mar 14, 2022","It is breeze to get the quotes from few reputable companies instantly. The best part is the site even chooses and best policy for your situation - depending your destination, age and state of resident. Also, their customer service is very reliable. One can expect quick email response too."
1025,Customer,US,"Mar 14, 2022","Jerome was very helpful, thoughtful, and responsive."
1026,Satisfied In Fl,US,"Mar 14, 2022",Liked that I could see multiple quotes to compare. Rates were very competitive with other sites I viewed. Booking was efficient and response was immediate.
1027,Linda Selkurt,US,"Mar 14, 2022",N/A
1028,Linda G,US,"Mar 13, 2022",The process simplified buying travel insurance. There were many plans to compare and choose from. The purchase was confirmed by email immediately.
1029,Customer,US,"Mar 13, 2022","I liked the A+ rating and the 5 stars. I will be able to give a better review after my vacation. Hope everything goes right, and your services will not be needed."
1030,Customer,US,"Mar 13, 2022","My experience was excellent.  My questions were answered promptly, and the staff was pleasant and patient.  Thank you."
1031,Customer,US,"Mar 13, 2022",Website was easy to understand and use. The thumbnails of the various policies were easy to read and understand. Also liked and used the ability to compare two plans.
1032,George B,US,"Mar 13, 2022",The suggested policy and costs were very good.
1033,Customer,US,"Mar 13, 2022",N/A
1034,Five Customers Very Happy,US,"Mar 13, 2022",We talked with 2 different agents today and both were very helpful.  This is our 1st time to buy travel insurance for upcoming Disney 7day voyage and both agents suggested a very good plan to cover our needs at a reasonable price. They also took care of our daughters' family that is going on the same cruise.  Thank you for being so helpful :)
1035,Customer,US,"Mar 13, 2022",Great website with ease of use.  Thanks
1036,Customer,US,"Mar 13, 2022",My representative was great ! Answered all my questions efficiently so that I was able to make decisions and purchase my planThank you
1037,Customer,US,"Mar 13, 2022","We just received a quote from Aardy.com for a trip we're taking in May. The representative was curteous,knowledgeable and very helpful.We had several questions which he answered in plain language which assisted us in making our choice from the policies offered. One of the best customer service representatives we've ever spoken to. Based on this contact we would definitely use Aardy in the future."
1038,Customer,US,"Mar 13, 2022",N/A
1039,Customer,US,"Mar 13, 2022",N/A
1040,Marilyn,US,"Mar 13, 2022","Website easy to navigate. Instant quote. Quick response from Aardy agents when questions sent. Both my daughters also used Aardy and were happy. Good prices, less than several other sites I researched. Will use again."
1041,Bob From Bowie,US,"Mar 13, 2022",The insurance was easy to acquire and the price was good. Just for our piece of mind.
1042,Craig L.,US,"Mar 13, 2022","After a very quick and pleasant 'chat' with a real person, I was invited to leave my telephone number for a return call to answer any questions I might have.  I did receive a call and the person was extremely pleasant and very knowledgeable.  The entire experiences was very nice!  Well done."
1043,Customer,US,"Mar 13, 2022",N/A
1044,Kirstin,US,"Mar 13, 2022",Darren was extremely helpful! He spend an hour on the phone with me explaining the options and details for different travel insurance plans. He was knowledgeable and patient. He answered all of my questions and addressed every concern. I feel confident with my purchase and happy to work with a company that does such a great job with customer service. Thank you!!
1045,Customer,US,"Mar 12, 2022",Your comparisons were so helpfulEspecially my on line chat answered all my questions!That’s why I opted to purchase through your site. Barb Toritto
1046,Terry,US,"Mar 12, 2022",Everyone I spoke with was very helpful.  They also answered all my questions and concerns.  Their response time was very fast. I would recommend this company for Travel Insurance.
1047,Cruiser Couple,US,"Mar 12, 2022",aardy made it easy to compare different policies from several companies at one location so i could make a good choice for my needs at a price i wanted to spend
1048,Customer,US,"Mar 12, 2022",Darren did an excellent job walking me through the different policies and options I had. His explanations were clear and through. Much appreciated!
1049,Customer,US,"Mar 12, 2022",N/A
1050,Silzemar Bauer,US,"Mar 12, 2022",So far the representatives I spoke with were very professional and helpful. I am impressed with the customer service.
1051,Cynthia Griffin,US,"Mar 12, 2022","We were very pleased with our Aardy.com experience.  We found the site easy to navigate and filled with all the appropriate information.  We received follow up emails with the name of a Concierge Travel Insurance Agent, Denise.  We called and spoke to Denise.  She was very efficient, pleasant and very knowledgeable about the products.  She was able to answer all of our questions and lay out the differences in the policies.  Ultimately we decided to go ahead and let Denise complete our purchase on the phone.  We really appreciated her guidance."
1052,Sharon,US,"Mar 12, 2022","Terri was fantastic to work with on this call.  She was patient in answering my questions and clear in her explanations.  Gave me options and was very helpful.  Thank you, Terri for Terrific customer service. Something that is so wonderful to experience."
1053,Marilyn Noesges,US,"Mar 12, 2022","I ordered this policy on 3/10/22. the agent was Arron and i'd rate my dealings with him to be a 5 star rating.However,I just hung up when I CALLED TODAY-3/12/22 @1225pm,a recording notified that there would be a longer than usual wait and after a @22min wait on hold a recording was then played to say my call couldn't be taken at all and to leave a message. What my complaint is that, instead of just giving me that recording about leaving a message in the 1st place, it would have saved me the @22mins on hold and some aggrivation. Every inquiry and problem encountered in this day and age, is met w/a wait time,but they should have gone to ""leave your info etc"" message in the beginning of the call. TY for listening."
1054,Tina,US,"Mar 12, 2022","The agent was pleasant, knowledgeable, and very accommodating. A+ for customer service!"
1055,Christine Hager,US,"Mar 12, 2022","Stacy was so efficient , professional and helpful Thank You"
1056,C Malona,US,"Mar 12, 2022",This the only company we spoke to that was comprehensive and explained our options and concerns.
1057,Fran,US,"Mar 12, 2022","I read about Aardy in an AARP article and am so glad I called for travel insurance. I spoke with Nicole and she listened to my needs and helped guide me to the best plan. At no point did I feel she was just trying to sell me something.I appreciated speaking with someone who was kind, informed and so willing to meet my needs.Thank you!"
1058,Jacqueline Ceasar,US,"Mar 12, 2022","The process was very easy to use they allow me the ability to compare policies and prices, I was able to get a price about $200., cheaper than my travel agent had quoted me, I applied and paid on line they did a follow up call confirming the Insurance and that I had received my insurance documents. Thank you Aardy"
1059,Shiv Nandan,IN,"Mar 12, 2022",A class work by team
1060,Customer,US,"Mar 12, 2022",Phone call was answered quickly and and in a courteous manner and all questions answered in a professional manner.
1061,Janet,US,"Mar 12, 2022","Thank you! I learned a lot regarding travel insurance on your site. When I called for further clarification, I received a prompt & helpful response from a living human without having to push endless buttons or be on hold! Terri was terrific. Thank you again."
1062,Linda Scherlie,US,"Mar 11, 2022",Everyone was helpful and answered all my questions.  Finally purchased with Denise.
1063,Cdavid From Tennessee,US,"Mar 11, 2022",The site was easy to use. I used the chat feature and had a phone call to answer additional questions. The agent was knowledgeable and answered all my questions. The information was provided without any pressure or sales pitch and I was able to choose the coverage I desired from a company of my choice. Thanks for all the help.
1064,Shari Hart,US,"Mar 11, 2022","What friendly customer service agents. I have already called three times and spoke to them and each time they were very pleasant.  I hope I never have to speak with them again (because I had to file a claim), but so far so great!"
1065,Daniel Robert,US,"Mar 11, 2022","Very helpful staff, great price!"
1066,Customer,US,"Mar 11, 2022","easy, nice, helpful"
1067,Customer,US,"Mar 11, 2022",Both Terri and Denise were very helpful and efficient. Thank you
1068,Customer,US,"Mar 11, 2022",I called about trave insurance and Denise was very helpful.  She got me a quote that covered all my concerns and was very polite.
1069,Customer,US,"Mar 11, 2022","Both Melanie A and Katrina (Terri) were helpful,prompt,very knowledgeable.My questions were answered and explained thoroughly,concisely.They we’re courteous and pleasant."
1070,Customer,US,"Mar 11, 2022",N/A
1071,Going Sailing,US,"Mar 11, 2022","Using the forms and chat I was able to find the right travel insurance and understand the different offerings of the different policies. Including buying the insurance, I was online 15 minutes."
1072,Alan Hall,US,"Mar 11, 2022","Was recommended travel insurance from our tour company. It was expensive. And looking at reviews of the company, they have horrible customer service and rarely pay. Looked at AArdy after checking with AARP. Did chat with Melanie, who recommended several policies that were cheaper than the one suggested by the tour company and had much better payment provisions. Saved money, protected better, and covered by top insurance companies. Can't beat that. Thank you Aardy.com!"
1073,Michele T,US,"Mar 11, 2022",Matthew was so helpful in selecting the correct policy to fit our needs. Will definitely use again!
1074,Cheapoyromantico,US,"Mar 11, 2022","Of course, I have no way to evaluate the actual insurance company I purchased a policy from, but the agent I dealt with at Aardy was wonderful.  I tried to call, but no answer, so I tried the chat, and my phone rang! (Said probably spam, but I answered and it was an Aardy agent!).  She answered my questions, and even allowed me to ask hypothetical questions such as ""What happens if one of us tests Covid positive the day of the cruise?""  She gave me the details of what we would need to do and how to do it, and what the coverage (reimbursement) would be.  As with my previous interactions with Aardy, customer service was excellent."
1075,Beth Brumley Mattingly,US,"Mar 11, 2022",I was looking for vacation insurance that would provide refund if we have to cancel due to illness of my father-in-law.  Matthew was very knowledgeable and helpful to me.
1076,Customer,US,"Mar 11, 2022","Aaron was patient, answered all my questions, made valuable suggestions, was professional and courteous in all regards."
1077,Customer,US,"Updated Mar 11, 2022",N/A
1078,Jan,US,"Mar 11, 2022",Efficient. Easy process.Thank you.
1079,Alda,US,"Mar 11, 2022","I was pleased with all the options Aardy came up with but had one question and called to clarify what I needed to do.  I was told that not only did all non-refundable expenses need to be included, but also all pre-paid expenses for any aspect of the trip.  I said that would be only pre-paid expenses that were NON REFUNDABLE and the rep did not think that was the case and had no way to find out without getting in touch with the insurance company.  I guess I could have asked her to do that but decided I would be more comfortable if I called the insurance company.  I did, wait time was an hour but I got all the info I needed and learned that I could choose the expenses I wanted covered and if anything was refundable, it should NOT be included - all made sense to me.  Better safe than sorry.  I then bought the policy through Aardy!!"
1080,Loretta D.,US,"Mar 11, 2022",This site was very easy to use.  You can view and compare multiple policies to decide which one is right for you.  Purchasing the policy was quick and easy.
1081,Customer,US,"Mar 11, 2022",The easy form of communication was a plus and coverage looks to be comprehensive f our upcoming trip.
1082,Customer,US,"Mar 11, 2022",Very easy to navigate and select the recommended plan. Very economical at a fraction of the price of previous plans with the same coverage.
1083,Cheryl V Koller,US,"Mar 11, 2022","I have purchased travel insurance 3 times from Aardy. com. Each time I called, asked a question or two, they never made me feel that they were in a rush to move onto another client. When I was having trouble online purchasing one time, the rep. was so nice and calm and rather than tell me how to do it, she was so gracious to do the form for me.  Cannot say enough on their customer service and their desire to make sure you get the travel insurance that fits what you need. THANK YOU!"
1084,Customer,US,"Mar 11, 2022",N/A
1085,Customer,US,"Mar 10, 2022",N/A
1086,Rosemary Dehart,US,"Mar 10, 2022",I found this company to be extremely helpful and informative for my travel insurance needs.
1087,Thomas Knoll,US,"Mar 10, 2022","The agent I spoke to was very helpful and answered all my questions.  Insurance is very confusing to my husband and myself, and the agent made it easier for me to understand.  I feel we made the right decision to cover any problems we may encounter."
1088,Customer,US,"Mar 10, 2022","Excellent attentiveness, made a very smooth transaction and explanation of all plans and benefits. Would highly recommend to anyone. Thank you!!"
1089,Angelica Revuelta,US,"Mar 10, 2022","It was an excellent experience. Stacy & Jerome gave me all the information that I was looking for,They were very nice,  very professional and Jerome complete my request really fast.Thanks to both.Angelica Revuelta"
1090,Customer,US,"Mar 10, 2022","Great site, easy to use.  Collects the same information and offers the same providers as many other travel insurance comparison sites, but provides better explanation of what the policies cover and don't cover (in my limited experience)."
1091,First Time European Traveler,US,"Mar 10, 2022","Terry was a great help!  She was very articulate and clarified the differences between the policies I was considering. Travel hasn't gotten any easier lately; so, it is nice to have a reliable source for one part of the decision making."
1092,Alan Riesenberg,US,"Mar 10, 2022",Denise was straightforward and very professional.  She included an explanation of every aspect of our travel insurance policy and I felt very comfortable doing business with her.  There should be more like her in this business.
1093,Customer,US,"Mar 10, 2022","quick and complete, direct specific answers to all my questions, comfortable with offering advice and things to considermatthew helped me today"
1094,Larry,US,"Mar 10, 2022",Very easy to obtain the policy.Many options given
1095,Satisfied Customer,US,"Mar 10, 2022","I highly recommend AARDY for giving me great information, plan comparisons,and terrific customer service.  I wish I could give my agent 5 additional stars..."
1096,Customer,US,"Mar 10, 2022",Dennis was very helpful and pleasant. She helped made the processing quick and smooth.
1097,Customer,US,"Mar 10, 2022",Great educational resource—incredibly thorough!
1098,Jimg,US,"Mar 10, 2022",Purchasing a travel insurance policy was easy.  I will not be able to rate the quality of the policy without having a problem.  I hope the initial rating of 5 stands and I do not have any problems requiring insurance reimbursement.
1099,Customer,US,"Mar 10, 2022",N/A
1100,Beverly,US,"Mar 10, 2022",I had contact with two reps. They were both friendly but professional. The rep who finalized my travel insurance answered all my questions completely.  After searching the internet you had the best rate for us
1101,Maria Olmedo,US,"Mar 10, 2022","The process was easy but the problem was that they misspelled my name and last name. I need a new confirmation, one corrected."
1102,Customer,US,"Mar 10, 2022","I started out with texting your site asking questions. I was answered right away and the rep. was very knowledgeable. When asked if I wanted to continue texting or speak over the phone, I chose the phone. I then spoke to Darren who was thorough and clear with the questions I had. Great service!"
1103,Customer,US,"Mar 10, 2022","You have two excellent customer representatives work with me with kindness, patience, professionals and friendly ladies namely Nicole and Ana. I thank them both for the job well done!"
1104,Linda,US,"Mar 10, 2022",This was very easy to get the trip insurance.I found no hidden costs.Everything seemed to be easily understood
1105,Mark Hawthorne,US,"Mar 10, 2022","Darren, the rep, answered all my questions and was very helpful."
1106,Customer,US,"Mar 9, 2022",N/A
1107,Customer Sherry,US,"Mar 9, 2022","Agent was thorough, quick, and well-informed. Completed the transaction on the phone getting exactly the coverage I wanted, in less than five minutes. She made a couple of helpful suggestions, too. I have used these folks for years for various travel insurance policies. They have always been great."
1108,Customer,US,"Mar 9, 2022",Aardy was recommended when I went to AARP Travel insurance. Good recommendation. They had the best price for what I needed. I called the Customer service number and spoke to an agent (don't remember his name) just to verify some information. He was extremely helpful and made me feel I was making the right decision. I was prepared to be given the hard sell to upgrade my policy. This did not happen. It was very easy to sign up too. So far so good.
1109,Customer,US,"Mar 9, 2022","First I spoke via chat and when the agent saw that I had some complicated questions, she offered to have someone call me.  This agent was beyond helpful in clarifying everything!!"
1110,Customer,US,"Mar 9, 2022","The website is easy to use.  The agents were very prompt and helpful, both on the web-chat and phone."
1111,Sw,US,"Mar 9, 2022","Every time I called, which was multiple times, the person responding was very helpful and clear in their explanations and patient. Highly recommend this service - there are so many possible plans out there it is a pleasure to get personal help - highly recommend"
1112,Joseph Smith,US,"Mar 9, 2022","Andy is professional, polite and knowledgeable."
1113,Customer,US,"Mar 9, 2022",spoke to a reprehensive was very help full with any question I had. Tme will tell how good the policy is hoping  to never find out.
1114,Valda G.,US,"Mar 9, 2022","It was so easy to understand the quotes provided and with the help of a customer service representative, I had my insurance purchased within a matter of minutes!  Thanks for such an awesome resource."
1115,Catherine L O'Shea,US,"Mar 9, 2022","I found AARDY via AARP, a real benefit of AARP membership! I had been trying to find travel insurance which would cover a non-refundable sizable deposit at a New England Inn, but having no luck finding insurers who would insure a domestic trip for US residents.  On AARDY I immediately found a chat option (with a person, not a Bot!). ""Melanie A."" was wonderful:  She took my info, reviewed the options available to me and recommended a specific vendor and policy. She then gave me the link to AARDY's site where I could compare options for myself and see why she had recommended this specific policy. Clearly it was the best option for us, and within five minutes I had purchased the plan AND received an e-mailed copy of a certificate, ID Card, and the policy itself.  Thanks to Melanie's gracious, smart help, a $3,000 cloud hanging over our upcoming vacation has been easily removed.  I strongly recommend using AARDY for travel insurance needs."
1116,Customer,US,"Mar 9, 2022",easy way to get travel insurance and compare policy's
1117,Becky,US,"Mar 9, 2022",Getting the right travel insurance was easy and I had many options to choose from. The agent was very helpful.
1118,Customer,US,"Mar 9, 2022",N/A
1119,Bob,US,"Mar 9, 2022",AARDY made it easy to find an insurer for my trip to Spain. AARDY displayed several policies and I was able to compare my top three in order to arrive at the one that best fit my needs and budget.
1120,Marsha L.,US,"Mar 8, 2022","Dealing with AARDY while looking for and purchasing travel insurance was a pleasure. They were very professional, helpful and thorough."
1121,Linda Schwartzcustomer,US,"Mar 8, 2022","Beth was very helpful and efficient, pleasant as well."
1122,Carlton ,US,"Mar 8, 2022","Denise and Beth are just amazing!  I truly appreciate the skill, the kindness, and the efficiency of your team!  They have won me as a customer for life!"
1123,Susan F,US,"Mar 8, 2022",Easy to navigate the website - all went smoothly.  I will be recommending to friends and will use Aardy for all our future travel plans. Great prices with great comprehensive coverage.
